productType,stream,crCode,lloydsTitle,internalKey,requiredness,applicability,sourceEntity,sourceField,sourcePath,sourceKind,authoritativeSource,derivationRule,fallbackRule,sourceReliability,validationRules,exampleValue,notes
MOTOR,premium,CR0062,CR0062 Commission Amount,cr0062,mandatory,premium_has_commission,premiumTransaction,commissionAmount,,typed_column,false,CR0059 * CR0061 / 100,,high,requiredness:mandatory;severity:error;applicability:premium_has_commission,,
MOTOR,premium,CR0064,CR0064 Total Taxes and Levies,cr0064,mandatory,premium_has_taxes,premiumTransaction,taxesTotal,,typed_column,false,stampDuty from pricing cost breakdown,2,high,requiredness:mandatory;severity:error;applicability:premium_has_taxes,2,Tax bucket only (stamp duty). Do not include MIF surcharge in CR0064.
MOTOR,premium,CR0065,CR0065 Net Premium to London (Original Currency),cr0065,mandatory,always,premiumTransaction,netToLondon,,typed_column,false,CR0059 - CR0062,,high,requiredness:mandatory;severity:error;applicability:always,,Net to London is gross premium less commission. Fees/taxes are not subtracted from CR0065 in current model.
MOTOR,premium,CR0066,CR0066 Settlement Currency,cr0066,conditional,settlement_currency_differs,binder,settlementCurrency,,typed_column,false,,premiumTransaction.settlementCurrency -> premiumTransaction.currency,high,requiredness:conditional;severity:warning;applicability:settlement_currency_differs,premiumTransaction.settlementCurrency -> premiumTransaction.currency,
MOTOR,premium,CR0067,CR0067 Rate of Exchange,cr0067,conditional,settlement_currency_differs,premiumTransaction,fxRate,,computed,false,,premiumTransaction.exchangeRate -> 1,medium,requiredness:conditional;severity:warning;applicability:settlement_currency_differs,premiumTransaction.exchangeRate -> 1,
MOTOR,premium,CR0068,CR0068 Net Premium to London (Settlement Currency),cr0068,conditional,settlement_currency_differs,premiumTransaction,netToLondonSettlement,,computed,false,,netToLondon * exchangeRate,medium,requiredness:conditional;severity:warning;applicability:settlement_currency_differs,netToLondon * exchangeRate,
MOTOR,premium,CR0077,CR0077 Tax 1 Territory,cr0077,optional,always,taxLine,jurisdiction,,typed_column,false,,,medium,requiredness:optional;severity:info;applicability:always,,
MOTOR,premium,CR0078,CR0078 Tax 1 Type,cr0078,optional,always,taxLine,taxType,,typed_column,false,,,medium,requiredness:optional;severity:info;applicability:always,,
MOTOR,premium,CR0079,CR0079 Tax 1 Taxable Amount,cr0079,optional,always,taxLine,taxableAmount,,typed_column,false,,,medium,requiredness:optional;severity:info;applicability:always,,
MOTOR,premium,CR0080,CR0080 Tax 1 Rate,cr0080,optional,always,taxLine,rate,,typed_column,false,,,medium,requiredness:optional;severity:info;applicability:always,,Intentionally blank when tax is fixed-amount and CR0081 is populated.
MOTOR,premium,CR0081,CR0081 Tax 1 Fixed Rate,cr0081,optional,always,taxLine,fixedRate,,typed_column,false,,,medium,requiredness:optional;severity:info;applicability:always,,"For fixed-amount taxes (e.g. stamp duty), CR0081 is populated while CR0080 remains blank."
MOTOR,premium,CR0083,CR0083 Tax 1 Amount,cr0083,optional,always,taxLine,taxAmount,,typed_column,false,,,medium,requiredness:optional;severity:info;applicability:always,,
MOTOR,premium,CR0288,CR0288 Number of Instalments,cr0288,mandatory,always,policy,quoteData.numberOfInstalments,,derived_projection,false,,1,medium,requiredness:mandatory;severity:error;applicability:always,1,
MOTOR,premium,CR0289,CR0289 Instalment Basis,cr0289,mandatory,always,policy,quoteData.instalmentBasis,,derived_projection,false,,Single,medium,requiredness:mandatory;severity:error;applicability:always,Single,
MOTOR,premium,CR0925,CR0925 Total Fee Amount,cr0925,mandatory,premium_has_fees,premiumTransaction,feesTotal,,typed_column,false,mifSurcharge from pricing cost breakdown,9,high,requiredness:mandatory;severity:error;applicability:premium_has_fees,9,Fee bucket only (MIF surcharge). Do not include stamp duty in CR0925.
MOTOR,premium,CR1297,CR1297 Lloyds Platform,cr1297,mandatory,always,binder,config.reporting.lloydsPlatform,,json_snapshot,false,,binder.reportingConfig.destinationPlatform -> binder.config.reporting.lloydsPlatform -> LBS for ABBEYGATE0125,medium,requiredness:mandatory;severity:error;applicability:always,binder.reportingConfig.destinationPlatform -> binder.config.reporting.lloydsPlatform -> LBS for ABBEYGATE0125,Canonical source is binder reporting config; ABBEYGATE0125 uses LBS default until config is explicitly set.
MOTOR,risk,,Engine Size,engineSize,optional,always,policy,quoteData.engineSize,$.engineSize,json_snapshot,false,,quoteData.engineSize,medium,requiredness:optional;severity:info;applicability:always,quoteData.engineSize,
MOTOR,risk,,No Claims Discount,ncd,optional,always,policy,quoteData.ncb,$.ncb,json_snapshot,false,,quoteData.ncb,medium,requiredness:optional;severity:info;applicability:always,quoteData.ncb,
MOTOR,risk,,Vehicle Make,vehicleMake,optional,always,policy,quoteData.make,$.make,json_snapshot,false,,quoteData.make,medium,requiredness:optional;severity:info;applicability:always,quoteData.make,
MOTOR,risk,,Vehicle Model,vehicleModel,optional,always,policy,quoteData.model,$.model,json_snapshot,false,,quoteData.model,medium,requiredness:optional;severity:info;applicability:always,quoteData.model,
MOTOR,risk,,Vehicle Year,vehicleYear,optional,always,policy,quoteData.year,$.year,json_snapshot,false,,quoteData.year,medium,requiredness:optional;severity:info;applicability:always,quoteData.year,
MOTOR,risk,CR0001,CR0001 Reporting Period Start Date,cr0001,mandatory,always,reportingPeriod,startDate,,constant,false,,,high,requiredness:mandatory;severity:error;applicability:always,,
MOTOR,risk,CR0002,CR0002 Reporting Period End Date,cr0002,mandatory,always,reportingPeriod,endDate,,constant,false,,,high,requiredness:mandatory;severity:error;applicability:always,,
MOTOR,risk,CR0005,CR0005 UMR,cr0005,mandatory,always,binder,umr,,typed_column,false,,policy.umr -> policy.policyNumber,high,requiredness:mandatory;severity:error;applicability:always,policy.umr -> policy.policyNumber,
MOTOR,risk,CR0006,CR0006 Agreement Number,cr0006,mandatory,always,binder,agreementNumber,,typed_column,false,,,high,requiredness:mandatory;severity:error;applicability:always,,
MOTOR,risk,CR0010,CR0010 Year of Account,cr0010,mandatory,always,binder,config.reporting.yearOfAccount,$.reporting.yearOfAccount,computed,false,,policy.inceptionDate.year,high,requiredness:mandatory;severity:error;applicability:always,policy.inceptionDate.year,
MOTOR,risk,CR0013,CR0013 Coverholder Name,cr0013,mandatory,always,binder,coverholderName,,typed_column,true,,,high,requiredness:mandatory;severity:error;applicability:always,,
MOTOR,risk,CR0014,CR0014 Coverholder PIN,cr0014,mandatory,always,binder,coverholderPin,,typed_column,true,,,medium,requiredness:mandatory;severity:error;applicability:always,,
MOTOR,risk,CR0016,CR0016 Risk Code,cr0016,mandatory,always,binder,config.reporting.riskCode,$.reporting.riskCode,json_snapshot,false,,AUTO_MOTOR,medium,requiredness:mandatory;severity:error;applicability:always,AUTO_MOTOR,
MOTOR,risk,CR0017,CR0017 Class of Business,cr0017,mandatory,always,binder,config.reporting.classOfBusiness,$.reporting.classOfBusiness,json_snapshot,false,,MOTOR,medium,requiredness:mandatory;severity:error;applicability:always,MOTOR,
MOTOR,risk,CR0019,CR0019 Type of Insurance,cr0019,mandatory,always,product,insuranceType,,constant,false,,,high,requiredness:mandatory;severity:error;applicability:always,,
MOTOR,risk,CR0020,CR0020 Original Currency,cr0020,mandatory,always,policy,quoteResponse.currency,$.currency,json_snapshot,false,,binder.defaultCurrency -> EUR,high,requiredness:mandatory;severity:error;applicability:always,binder.defaultCurrency -> EUR,
MOTOR,risk,CR0022,CR0022 Risk Transaction Type,cr0022,mandatory,always,riskTransaction,transactionType,,typed_column,false,,defaults to INCEPTION,high,requiredness:mandatory;severity:error;applicability:always,defaults to INCEPTION,
MOTOR,risk,CR0026,CR0026 Policy or Group Reference,cr0026,mandatory,always,policy,policyNumber,,typed_column,true,,,high,requiredness:mandatory;severity:error;applicability:always,,
MOTOR,risk,CR0030,CR0030 Risk Inception Date,cr0030,mandatory,always,policy,inceptionDate,,typed_column,false,,,high,requiredness:mandatory;severity:error;applicability:always,,
MOTOR,risk,CR0031,CR0031 Risk Expiry Date,cr0031,mandatory,always,policy,expiryDate,,typed_column,false,,,high,requiredness:mandatory;severity:error;applicability:always,,
MOTOR,risk,CR0033,CR0033 Vehicle Registration Number,cr0033,mandatory,always,policy,quoteData.registrationNumber,$.registrationNumber,json_snapshot,false,,policy.vehicleRegistrationNumber -> quoteData.registrationNumber,medium,requiredness:mandatory;severity:error;applicability:always,policy.vehicleRegistrationNumber -> quoteData.registrationNumber,
MOTOR,risk,CR0035,CR0035 Insured Name,cr0035,mandatory,always,policyHolder,name,,typed_column,false,,,high,requiredness:mandatory;severity:error;applicability:always,,
MOTOR,risk,CR0052,CR0052 Sum Insured Amount,cr0052,conditional,motor_own_damage,policy,quoteData.vehicleValue,$.vehicleValue,json_snapshot,false,,policy.sumInsuredAmount -> quoteData.vehicleValue,medium,requiredness:conditional;severity:warning;applicability:motor_own_damage,policy.sumInsuredAmount -> quoteData.vehicleValue,
MOTOR,risk,CR0054,CR0054 Deductible/Excess Amount,cr0054,conditional,motor_has_excess,policy,quoteData.requiredExcess,$.requiredExcess,json_snapshot,false,,policy.excessAmount -> quoteData.requiredExcess -> quoteResponse.primaryOption.totalExcess,medium,requiredness:conditional;severity:warning;applicability:motor_has_excess,policy.excessAmount -> quoteData.requiredExcess -> quoteResponse.primaryOption.totalExcess,
MOTOR,risk,CR0059,CR0059 Gross Premium Paid This Time,cr0059,conditional,risk_level_financials_included,policy,quoteResponse.primaryOption.annualPremium,$.primaryOption.annualPremium,json_snapshot,false,,,medium,requiredness:conditional;severity:warning;applicability:risk_level_financials_included,,
MOTOR,risk,CR0226,CR0226 Country of Registration,cr0226,mandatory,always,policy,quoteData.countryOfRegistration,$.countryOfRegistration,json_snapshot,false,,policy.vehicleRegistrationCountry -> quoteData.countryOfRegistration,medium,requiredness:mandatory;severity:error;applicability:always,policy.vehicleRegistrationCountry -> quoteData.countryOfRegistration,
